Addr_001_,Via Pasquale Scura,,Naples,80123
Addr_002_,Vico Belledonne a Chiaia,,Naples,80148
Addr_003_,Via S. Giacomo,,Naples,80124
Addr_004_,Via Enrico Pessina,,Naples,80118
Addr_005_,Vico Lungo del Gelso,,Naples,80113
Addr_006_,Vico Pallonetto Santa Chiara,,Naples,80164
Addr_007_,Via Domenico Cimarosa,,Naples,80114
Addr_008_,Viale della Costituzione,,Naples,80179
Addr_009_,Piazza Bellini,,Naples,80193
Addr_010_,Via Serino,,Naples,80173
Addr_011_,Corso Novara,,Naples,80123
Addr_012_,Viale della Costituzione,,Naples,80133
Addr_013_,Viale della Costituzione,,Naples,80138
Addr_014_,Via San Biagio Dei Librai,,Naples,80127
Addr_015_,Via Domenico Capitelli,,Naples,80193
Addr_016_,Via Gian Lorenzo Bernini,,Naples,80131
